iter	RMSE
432	0.2216593632
433	0.2216555467
434	0.221652743
435	0.221650217
436	0.2216474909
437	0.221644743
438	0.2216417053
439	0.2216385955
440	0.2216350093
441	0.2216319406
442	0.2216291827
443	0.2216259968
444	0.2216232696
445	0.221620048
446	0.2216173851
447	0.2216141771
448	0.2216114322
449	0.2216081889
450	0.2216053701
451	0.2216022231
452	0.221599759
453	0.2215970281
454	0.2215936192
455	0.2215904042
456	0.221586751
457	0.2215839371
458	0.2215808501
459	0.2215779349
460	0.2215757083
461	0.2215722343
462	0.2215687002
463	0.2215653822
464	0.2215626551
465	0.2215596558
466	0.2215562175
467	0.2215541849
468	0.2215516636
469	0.2215484364
470	0.2215451273
471	0.2215422763
472	0.2215398979
473	0.2215381631
474	0.221534791
475	0.2215314872
476	0.2215288523
477	0.2215254092
478	0.2215227035
479	0.2215199745
480	0.2215174993
481	0.221513871
482	0.2215110003
483	0.2215067367
484	0.2215036279
485	0.2215003271
486	0.2214975937
487	0.2214943441
488	0.2214919919
489	0.221488406
490	0.2214857628
491	0.2214831247
492	0.2214806556
493	0.2214779014
494	0.2214747594
495	0.2214721246
496	0.2214688381
497	0.2214652739
498	0.2214614374
499	0.2214584098
500	0.2214552578
501	0.2214522373
502	0.2214491684
503	0.2214458258
504	0.2214422328
505	0.221439369
506	0.2214369406
507	0.2214337024
508	0.2214306147
509	0.2214276982
510	0.2214253291
511	0.2214223338
512	0.221419252
513	0.2214154278
514	0.2214122771
515	0.2214100086
516	0.221406997
517	0.2214040556
518	0.2214015773
519	0.2213974351
520	0.2213949902
521	0.2213917437
522	0.2213885708
523	0.2213861555
524	0.2213829286
525	0.2213797617
526	0.2213764113
527	0.2213732084
528	0.2213703139
529	0.2213673478
530	0.2213637218
531	0.2213606029
532	0.2213577437
533	0.221355126
534	0.2213522088
535	0.2213491766
536	0.2213468432
537	0.2213437781
538	0.2213405696
539	0.2213382098
540	0.2213347236
541	0.2213315815
542	0.221328618
543	0.221324951
544	0.2213218193
545	0.2213177073
546	0.2213148494
547	0.2213117071
548	0.2213084028
549	0.2213056704
550	0.2213026657
551	0.221300364
552	0.2212973225
553	0.2212946967
554	0.2212919019
555	0.2212890919
556	0.2212855121
557	0.2212824916
558	0.221278846
559	0.2212755561
560	0.2212724948
561	0.221270148
562	0.2212680218
563	0.2212646123
564	0.2212617125
565	0.2212585129
566	0.2212555347
567	0.2212529162
568	0.221249264
569	0.2212464395
570	0.2212442054
571	0.2212413668
572	0.2212390846
573	0.2212364407
574	0.2212338079
575	0.221231764
576	0.2212288279
577	0.2212260316
578	0.221222304
579	0.2212187481
580	0.2212164689
581	0.2212124097
582	0.2212097766
583	0.2212071473
584	0.221203317
585	0.2212001513
586	0.2211972132
587	0.2211945612
588	0.2211920075
589	0.2211888647
590	0.2211856859
591	0.221182986
592	0.2211799035
593	0.2211774568
594	0.2211743087
595	0.221171853
596	0.2211683556
597	0.2211654624
598	0.2211629822
599	0.221160941
600	0.2211574683
601	0.2211551266
602	0.2211515882
603	0.2211494122
604	0.2211467157
605	0.2211433244
606	0.2211407305
607	0.2211378955
608	0.2211353679
609	0.2211326677
610	0.2211296146
611	0.221126755
612	0.2211236175
613	0.2211203379
614	0.2211178119
615	0.2211147089
616	0.2211113469
617	0.2211085163
618	0.2211050911
619	0.221102369
620	0.221099882
621	0.2210964805
622	0.2210937379
623	0.2210908827
624	0.2210881185
625	0.2210846858
626	0.2210817017
627	0.2210783835
628	0.2210757649
629	0.2210726301
630	0.2210701711
631	0.2210673208
632	0.2210645467
633	0.2210616293
634	0.2210591734
635	0.2210565748
636	0.2210540828
637	0.2210502337
638	0.2210473119
639	0.2210442622
640	0.2210411057
641	0.2210382551
642	0.2210357326
643	0.221033178
644	0.2210300785
645	0.2210274826
646	0.2210250101
647	0.221022828
648	0.2210192288
649	0.221016545
650	0.2210133158
651	0.2210106958
652	0.2210072828
653	0.2210043439
654	0.2210017148
655	0.2209990045
656	0.2209960921
657	0.2209934429
658	0.2209904936
659	0.2209874187
660	0.2209848759
661	0.2209820566
662	0.2209796207
663	0.2209759377
664	0.2209729774
665	0.220969641
666	0.2209664417
667	0.2209641244
668	0.2209612168
669	0.2209578472
670	0.2209547737
671	0.2209511283
672	0.2209484901
673	0.2209455899
674	0.220943136
675	0.2209396314
676	0.2209371365
677	0.2209338515
678	0.2209311291
679	0.2209280771
680	0.220924822
681	0.2209211946
682	0.2209183839
683	0.2209153474
684	0.2209129395
685	0.2209101598
686	0.2209074985
687	0.2209042006
688	0.2209008823
689	0.2208973522
690	0.220894079
691	0.2208916689
692	0.2208892574
693	0.220885445
694	0.2208827717
695	0.2208798742
696	0.2208770189
697	0.220873899
698	0.2208712645
699	0.2208685649
700	0.2208659282
701	0.2208632792
702	0.2208607385
703	0.2208575406
704	0.2208549254
705	0.2208524135
706	0.2208489531
707	0.2208465431
708	0.2208441097
709	0.2208414323
710	0.2208389315
711	0.2208354133
712	0.2208323841
713	0.2208297115
714	0.22082661
715	0.2208232347
716	0.2208198781
717	0.2208170693
718	0.2208142926
719	0.2208114836
720	0.2208087211
721	0.2208054131
722	0.2208025836
723	0.2207992218
724	0.22079687
725	0.2207939573
726	0.2207913024
727	0.2207883318
728	0.2207856387
729	0.2207821657
730	0.2207781704
731	0.2207750522
732	0.2207724665
733	0.220769152
734	0.2207657475
735	0.2207632733
736	0.2207601704
737	0.2207565361
738	0.2207535503
739	0.2207505086
740	0.2207477364
741	0.2207441698
742	0.220740678
743	0.2207371216
744	0.2207338316
745	0.2207310542
746	0.2207278009
747	0.2207241831
748	0.2207212476
749	0.2207182608
750	0.2207145976
751	0.2207124932
752	0.2207097277
753	0.220707101
754	0.2207043191
755	0.2207004478
756	0.2206978927
757	0.2206946098
758	0.2206912077
759	0.2206885466
760	0.2206861091
761	0.2206835107
762	0.2206802848
763	0.2206773934
764	0.2206750393
765	0.2206721736
766	0.2206692466
767	0.2206660919
768	0.2206635909
769	0.2206616957
770	0.2206585736
771	0.2206562624
772	0.2206527794
773	0.2206496307
774	0.2206464304
775	0.2206425502
776	0.2206394617
777	0.2206363381
778	0.2206325731
779	0.2206297416
780	0.2206277287
781	0.2206251837
782	0.2206217889
783	0.2206190185
784	0.2206162024
785	0.2206136668
786	0.2206108596
787	0.220608542
788	0.2206064209
789	0.2206034469
790	0.2206005518
791	0.2205978875
792	0.2205951137
793	0.2205913705
794	0.2205886767
795	0.2205854107
796	0.2205831681
797	0.2205797119
798	0.2205768973
799	0.2205734051
800	0.2205705873
801	0.2205685625
802	0.2205658528
803	0.2205629547
804	0.2205601057
805	0.2205574167
806	0.2205545834
807	0.2205520137
808	0.2205484143
809	0.2205452131
810	0.2205419141
811	0.2205393127
812	0.2205368533
813	0.2205339394
814	0.2205312774
815	0.2205286392
816	0.2205250322
817	0.2205225462
818	0.2205197543
819	0.2205166247
820	0.2205135812
821	0.2205109745
822	0.2205083947
823	0.220505749
824	0.2205030791
825	0.22049969
826	0.22049681
827	0.2204940156
828	0.2204918209
829	0.2204888575
830	0.2204858052
831	0.2204834372
832	0.2204810418
833	0.2204783614
834	0.2204755786
835	0.2204726072
836	0.220469923
837	0.2204672077
838	0.220464409
839	0.2204609408
840	0.220458212
841	0.2204555315
842	0.2204525455
843	0.220449857
844	0.2204473239
845	0.2204447867
846	0.2204416301
847	0.2204384124
848	0.2204359626
849	0.2204332364
850	0.2204295723
851	0.2204267176
852	0.2204238936
853	0.2204211817
854	0.2204171818
855	0.2204142609
856	0.220411786
857	0.2204091458
858	0.2204063008
859	0.2204030663
860	0.220399913
861	0.2203966197
862	0.2203935305
863	0.2203908534
864	0.2203882772
865	0.2203860055
866	0.2203831147
867	0.2203801438
868	0.2203775119
869	0.2203747569
870	0.2203714309
871	0.2203677139
872	0.220364637
873	0.2203616998
874	0.2203585561
875	0.2203557397
876	0.2203526948
877	0.2203502295
878	0.2203474905
879	0.2203447506
880	0.2203420541
881	0.2203389768
882	0.2203355993
883	0.2203315859
884	0.2203288336
885	0.2203256663
886	0.2203227994
887	0.2203199603
888	0.2203166594
889	0.220313321
890	0.2203100428
891	0.2203071028
892	0.2203049976
893	0.2203020138
894	0.2202993924
895	0.2202959472
896	0.2202931537
897	0.2202892898
898	0.2202862295
899	0.2202826306
900	0.2202798376
901	0.2202769808
902	0.220274351
903	0.2202715254
904	0.2202688905
905	0.2202659334
906	0.2202630607
907	0.2202605395
908	0.2202568842
909	0.2202532749
910	0.2202500784
911	0.2202463754
912	0.2202435791
913	0.2202402343
914	0.220237593
915	0.2202340425
916	0.2202311323
917	0.2202272983
918	0.2202250983
919	0.2202215271
920	0.2202185141
921	0.2202157134
922	0.2202122572
923	0.2202100714
924	0.2202070112
925	0.2202038035
926	0.2202010039
927	0.2201973168
928	0.2201942044
929	0.2201915865
930	0.2201888779
931	0.2201856286
932	0.2201826212
933	0.2201796688
934	0.2201774042
935	0.2201750531
936	0.2201722864
937	0.220169378
938	0.220166227
939	0.2201633393
940	0.2201601833
941	0.2201567508
942	0.2201536561
943	0.2201510741
944	0.2201486637
945	0.2201458587
946	0.2201430173
947	0.220140271
948	0.2201380252
949	0.2201354488
950	0.220132521
951	0.2201296313
952	0.2201267556
953	0.2201234026
954	0.2201197818
955	0.2201172504
956	0.2201148349
957	0.2201120774
958	0.2201089083
959	0.2201062921
960	0.2201032821
961	0.2201001495
962	0.2200964364
963	0.2200930494
964	0.2200895367
965	0.2200856047
966	0.220082621
967	0.2200795215
968	0.2200765968
969	0.2200740071
970	0.2200711489
971	0.2200682725
972	0.2200654223
973	0.220062503
974	0.2200593923
975	0.2200563739
976	0.2200532571
977	0.2200501808
978	0.2200472413
979	0.2200442591
980	0.220040633
981	0.2200379124
982	0.2200350635
983	0.2200319675
984	0.2200284547
985	0.2200258202
986	0.2200231646
987	0.220020555
988	0.2200173641
989	0.220014607
990	0.2200108696
991	0.2200079197
992	0.2200057037
993	0.2200023821
994	0.219999464
995	0.219996434
996	0.2199936623
997	0.2199910823
998	0.219987477
999	0.2199840907
